X, Y, Z, NX, NY, NZ, IX, IY, IZ, CUTNUM
0.505345392,0.227049242,-0.139629459,0,0.69465837,-0.7193398,-0.352276959,0.673227096,0.65012785,20
0.506533042,0.227378324,-0.139311668,0,0.69465837,-0.7193398,-0.366706927,0.669228083,0.646266047,20
0.507713148,0.227720819,-0.138980925,0,0.69465837,-0.7193398,-0.381689181,0.664879115,0.642066298,20
0.508887258,0.228077934,-0.138636063,0,0.69465837,-0.7193398,-0.397299429,0.660130247,0.637480369,20
0.510052283,0.228449565,-0.138277183,0,0.69465837,-0.7193398,-0.413558507,0.654942736,0.632470848,20
0.51120746,0.228836344,-0.137903675,0,0.69465837,-0.7193398,-0.430522077,0.649261751,0.626984785,20
0.512351921,0.229238958,-0.137514875,0,0.69465837,-0.7193398,-0.448250915,0.643023443,0.620960521,20
0.513484664,0.22965815,-0.137110066,0,0.69465837,-0.7193398,-0.466811113,0.636153221,0.614326025,20
0.51460453,0.230094723,-0.136688473,0,0.69465837,-0.7193398,-0.486274131,0.628563657,0.606996868,20
0.515710169,0.230549541,-0.13624926,0,0.69465837,-0.7193398,-0.506716583,0.620151976,0.598873802,20
0.516800008,0.231023529,-0.135791535,0,0.69465837,-0.7193398,-0.528219594,0.610797037,0.589839843,20
0.517872207,0.231517671,-0.135314348,0,0.69465837,-0.7193398,-0.550867528,0.600355743,0.579756802,20
0.518924612,0.232033004,-0.134816696,0,0.69465837,-0.7193398,-0.57474574,0.588658809,0.568461204,20
0.519954701,0.232570614,-0.134297532,0,0.69465837,-0.7193398,-0.599936904,0.575505878,0.555759566,20
0.520960441,0.233132148,-0.133755266,0,0.69465837,-0.7193398,-0.626540409,0.560645483,0.541409049,20
0.52193976,0.233719709,-0.133187865,0,0.69465837,-0.7193398,-0.65466071,0.543765392,0.525108135,20
0.522886644,0.234333428,-0.132595203,0,0.69465837,-0.7193398,-0.684278294,0.524557664,0.506559447,20
0.523796329,0.234974405,-0.131976218,0,0.69465837,-0.7193398,-0.71537224,0.50263405,0.48538806,20
0.524663335,0.235643629,-0.131329957,0,0.69465837,-0.7193398,-0.747845462,0.477550166,0.461164835,20
0.525484668,0.236344833,-0.130652812,0,0.69465837,-0.7193398,-0.781629351,0.448683296,0.433288423,20
0.526250841,0.237077176,-0.129945596,0,0.69465837,-0.7193398,-0.81628419,0.415527008,0.401269767,20
0.526952458,0.237839648,-0.129209285,0,0.69465837,-0.7193398,-0.851167986,0.377576699,0.364621579,20
0.527584342,0.238636658,-0.128439622,0,0.69465837,-0.7193398,-0.885626944,0.33405951,0.322597519,20
0.528132538,0.239462308,-0.127642301,0,0.69465837,-0.7193398,-0.918259968,0.284842785,0.27506948,20
0.528589208,0.240318104,-0.126815868,0,0.69465837,-0.7193398,-0.947694049,0.229599009,0.221721186,20
0.528942383,0.241197078,-0.125967053,0,0.69465837,-0.7193398,-0.972052235,0.168875575,0.163081247,20
0.529184168,0.242096911,-0.125098094,0,0.69465837,-0.7193398,-0.989618332,0.103383815,0.099836589,20
0.529306817,0.243008218,-0.124218056,0,0.69465837,-0.7193398,-0.99882677,0.034834798,0.033639573,20
0.529306817,0.243924036,-0.12333366,0,0.69465837,-0.7193398,-0.99882677,-0.034834798,-0.033639573,20
0.529184168,0.244835342,-0.122453622,0,0.69465837,-0.7193398,-0.989618332,-0.103383815,-0.099836589,20
0.528942383,0.245735175,-0.121584663,0,0.69465837,-0.7193398,-0.972052235,-0.168875575,-0.163081247,20
0.528589208,0.24661415,-0.120735848,0,0.69465837,-0.7193398,-0.947694049,-0.229599009,-0.221721186,20
0.528132538,0.247469945,-0.119909416,0,0.69465837,-0.7193398,-0.918259968,-0.284842785,-0.27506948,20
0.527584342,0.248295595,-0.119112094,0,0.69465837,-0.7193398,-0.885626944,-0.33405951,-0.322597519,20
0.526952458,0.249092605,-0.118342431,0,0.69465837,-0.7193398,-0.851167986,-0.377576699,-0.364621579,20
0.526250841,0.249855077,-0.117606121,0,0.69465837,-0.7193398,-0.81628419,-0.415527008,-0.401269767,20
0.525484668,0.250587421,-0.116898904,0,0.69465837,-0.7193398,-0.781629351,-0.448683296,-0.433288423,20
0.524663335,0.251288625,-0.116221759,0,0.69465837,-0.7193398,-0.747845462,-0.477550166,-0.461164835,20
0.523796329,0.251957848,-0.115575498,0,0.69465837,-0.7193398,-0.71537224,-0.50263405,-0.48538806,20
0.522886644,0.252598825,-0.114956513,0,0.69465837,-0.7193398,-0.684278294,-0.524557664,-0.506559447,20
0.52193976,0.253212545,-0.114363851,0,0.69465837,-0.7193398,-0.65466071,-0.543765392,-0.525108135,20
0.520960441,0.253800106,-0.11379645,0,0.69465837,-0.7193398,-0.626540409,-0.560645483,-0.541409049,20
0.519954701,0.254361639,-0.113254184,0,0.69465837,-0.7193398,-0.599936904,-0.575505878,-0.555759566,20
0.518924612,0.254899249,-0.11273502,0,0.69465837,-0.7193398,-0.57474574,-0.588658809,-0.568461204,20
0.517872207,0.255414582,-0.112237368,0,0.69465837,-0.7193398,-0.550867528,-0.600355743,-0.579756802,20
0.516800008,0.255908724,-0.111760181,0,0.69465837,-0.7193398,-0.528219594,-0.610797037,-0.589839843,20
0.515710169,0.256382712,-0.111302456,0,0.69465837,-0.7193398,-0.506716583,-0.620151976,-0.598873802,20
0.51460453,0.256837531,-0.110863243,0,0.69465837,-0.7193398,-0.486274131,-0.628563657,-0.606996868,20
0.513484664,0.257274104,-0.11044165,0,0.69465837,-0.7193398,-0.466811113,-0.636153221,-0.614326025,20
0.512351921,0.257693295,-0.110036841,0,0.69465837,-0.7193398,-0.448250915,-0.643023443,-0.620960521,20
0.51120746,0.258095909,-0.109648041,0,0.69465837,-0.7193398,-0.430522077,-0.649261751,-0.626984785,20
0.510052283,0.258482688,-0.109274533,0,0.69465837,-0.7193398,-0.413558507,-0.654942736,-0.632470848,20
0.508887258,0.258854319,-0.108915653,0,0.69465837,-0.7193398,-0.397299429,-0.660130247,-0.637480369,20
0.507713148,0.259211434,-0.108570791,0,0.69465837,-0.7193398,-0.381689181,-0.664879115,-0.642066298,20
0.506533042,0.259553929,-0.108240048,0,0.69465837,-0.7193398,-0.366706927,-0.669228083,-0.646266047,20
0.505345392,0.259883011,-0.107922257,0,0.69465837,-0.7193398,-0.352276959,-0.673227096,-0.65012785,20
0.504150596,0.260199212,-0.107616905,0,0.69465837,-0.7193398,-0.338355311,-0.676912009,-0.653686328,20
0.502949092,0.260502992,-0.107323548,0,0.69465837,-0.7193398,-0.324903019,-0.680313702,-0.656971305,20
0.501741285,0.260794773,-0.107041778,0,0.69465837,-0.7193398,-0.311884614,-0.683459121,-0.660008801,20
0.500527549,0.26107494,-0.106771225,0,0.69465837,-0.7193398,-0.299267774,-0.686371858,-0.662821599,20
0.499308826,0.261343717,-0.106511669,0,0.69465837,-0.7193398,-0.287028838,-0.689071378,-0.665428495,20
0.498087893,0.261600941,-0.106263272,0,0.69465837,-0.7193398,-0.275163674,-0.691571411,-0.667842748,20
0.496861934,0.261847606,-0.10602507,0,0.69465837,-0.7193398,-0.263615966,-0.693895106,-0.670086714,20
0.495631226,0.262083984,-0.105796802,0,0.69465837,-0.7193398,-0.252363124,-0.696056643,-0.672174087,20
0.494396044,0.262310321,-0.105578231,0,0.69465837,-0.7193398,-0.241384442,-0.698068613,-0.674117024,20
0.493157527,0.262526695,-0.105369282,0,0.69465837,-0.7193398,-0.23066831,-0.699940962,-0.67592513,20
0.49191792,0.262733014,-0.105170041,0,0.69465837,-0.7193398,-0.220213106,-0.701681293,-0.677605749,20
0.490674393,0.262930015,-0.1049798,0,0.69465837,-0.7193398,-0.209975798,-0.703303259,-0.679172062,20
0.489427197,0.263117868,-0.104798392,0,0.69465837,-0.7193398,-0.199941565,-0.704814764,-0.680631706,20
0.488176592,0.263296729,-0.104625668,0,0.69465837,-0.7193398,-0.190096702,-0.706222906,-0.681991533,20
0.486926212,0.263466298,-0.104461917,0,0.69465837,-0.7193398,-0.180454223,-0.707530675,-0.683254431,20
0.485672764,0.263627223,-0.104306513,0,0.69465837,-0.7193398,-0.170974163,-0.70874789,-0.684429882,20
0.484416329,0.263779646,-0.104159321,0,0.69465837,-0.7193398,-0.161644255,-0.70987983,-0.685522984,20
0.4831573,0.263923658,-0.10402025,0,0.69465837,-0.7193398,-0.152455246,-0.710930988,-0.686538075,20
0.481898788,0.264059065,-0.103889489,0,0.69465837,-0.7193398,-0.14341781,-0.711903432,-0.687477153,20
0.480637661,0.264186351,-0.10376657,0,0.69465837,-0.7193398,-0.134498133,-0.712803769,-0.688346598,20
0.479374194,0.264305593,-0.10365142,0,0.69465837,-0.7193398,-0.125687946,-0.713635311,-0.689149609,20
0.478109609,0.264416783,-0.103544045,0,0.69465837,-0.7193398,-0.116985876,-0.71440051,-0.689888553,20
0.476844707,0.264519966,-0.103444402,0,0.69465837,-0.7193398,-0.108387787,-0.715101947,-0.690565923,20
0.475577824,0.264615375,-0.103352266,0,0.69465837,-0.7193398,-0.099873283,-0.71574322,-0.691185193,20
0.474309253,0.264703059,-0.103267591,0,0.69465837,-0.7193398,-0.091435826,-0.716326465,-0.691748426,20
0.473040885,0.264782972,-0.10319042,0,0.69465837,-0.7193398,-0.083079616,-0.71685298,-0.692256876,20
0.471771353,0.264855277,-0.103120596,0,0.69465837,-0.7193398,-0.074787537,-0.717325283,-0.692712973,20
0.470500495,0.264920039,-0.103058056,0,0.69465837,-0.7193398,-0.066550868,-0.717745048,-0.693118336,20
0.469229125,0.264977269,-0.103002789,0,0.69465837,-0.7193398,-0.058367398,-0.718113448,-0.693474096,20
0.46795763,0.265027004,-0.102954761,0,0.69465837,-0.7193398,-0.050232295,-0.718431678,-0.693781407,20
0.466685172,0.265069319,-0.102913898,0,0.69465837,-0.7193398,-0.042133073,-0.718701032,-0.694041519,20
0.465412067,0.265104233,-0.102880182,0,0.69465837,-0.7193398,-0.034064821,-0.718922314,-0.694255209,20
